Category,Scheme Name,Description,Benefits,Eligibility,Tags
Technology,IPR (Domestic Patent),Reimbursement for Indian Patent.,Reimbursement up to ?1 Lakh.,Registered MSMEs.,Patent;IPR;Reimbursement
Technology,IPR (Foreign Patent),Reimbursement for International Patent.,Reimbursement up to ?5 Lakh.,Registered MSMEs.,Patent;IPR;Export
Technology,IPR (GI Registration),Support for Geographical Indication.,Reimbursement up to ?2 Lakh.,"Consortiums, Associations.",GI;IPR;Traditional
Technology,Incubation (Idea Support),Support for nurturing ideas.,Grant up to ?15 Lakh per idea.,"Students, Innovators.",Startup;Innovation;Grant
Technology,Incubation (Capital Support),Seed capital for startups.,Grant up to ?1 Crore for machinery.,Startups in Incubators.,Startup;Seed Capital;Machinery
Technology,TREAD (Women),Tech assistance for women.,Grant up to 30% of project cost.,Women NGOs.,Women;Technology;Grant
Technology,QMS/QTT,Quality Management Standards awareness.,Reimbursement of course fees.,MSMEs.,Quality;Training
Technology,Bar Code Support,Reimbursement for Bar Code registration.,Reimbursement of registration fees.,Micro & Small Enterprises.,Retail;BarCode;Reimbursement
Technology,Energy Efficiency Scheme,Audit and retrofit for energy saving.,Subsidy on energy audit cost.,Manufacturing MSMEs.,Energy;Efficiency;Audit
Technology,Waste to Wealth,Tech for waste management.,Grant for waste processing tech.,Manufacturing MSMEs.,Environment;Waste;Technology
Skill Dev,ESDP (Industrial Motivation),1-2 day motivation camp for youth.,Free participation.,"Youth, Students.",Training;Youth;Motivation
Skill Dev,ESDP (Entrepreneurship Awareness),2-week awareness programme.,Free training + Stipend for SC/ST.,Youth 18+.,Training;Youth;Awareness
Skill Dev,ESDP (Skill Development),6-week technical skill training.,Free training in specific trades.,"Youth, Prospective Entrepreneurs.",Training;Skill;Technical
Skill Dev,ESDP (Management Dev),1-week management training.,Training for existing entrepreneurs.,Existing MSME Owners.,Training;Management
Skill Dev,ATI (Infrastructure),Grant for training institutes.,Grant for building/equipment.,Training Institutes.,Infrastructure;Grant
Skill Dev,ATI (Course Support),Stipend support for trainees.,Stipend for SC/ST/Women trainees.,Trainees at ATIs.,Stipend;Training
Skill Dev,Tool Room Training (Short Term),Short courses on CAD/CAM/CNC.,Fee-based (Subsidized for SC/ST).,ITI/Diploma Students.,Training;Technical;Student
Skill Dev,Tool Room Training (Long Term),Diploma/Certificate in Tool Engineering.,Fee-based (Subsidized).,10th/12th Pass Students.,Training;Technical;Student
Skill Dev,Mahila Coir Yojana (Training),Spinning training for women.,Stipend during training period.,Women in Coir regions.,Women;Coir;Training
Skill Dev,NIESBUD Training,Online/Offline entrepreneurship courses.,Fee-based certification.,Aspiring Entrepreneurs.,Training;Online;Certification
Skill Dev,IIE Training (North East),Entrepreneurship training in NE India.,Special focus on NE youth.,Youth in North East.,Training;North East;Youth
Skill Dev,NSIC Technical Services,Technical training in various trades.,Practical training at NSIC centers.,"Youth, Job Seekers.",Training;Technical;Skill
Skill Dev,Apprenticeship (MSME),Reimbursement of stipend.,Reimbursement of 25% of stipend.,MSMEs engaging apprentices.,Training;Stipend;Employment
Skill Dev,Vendor Development (Training),Training on public procurement.,Free workshops.,MSEs.,Training;Procurement
Skill Dev,Export Packaging Training,Training on packaging for exports.,Workshops on packaging standards.,Exporters.,Training;Export;Packaging
Skill Dev,Digital Literacy Workshop,Training on digital payments/marketing.,Free workshops.,Micro Enterprises.,Training;Digital;Awareness
Skill Dev,GST Training,Workshops on GST compliance.,Free awareness sessions.,MSMEs.,Training;Tax;Compliance
Skill Dev,ZED Awareness,Workshops on ZED parameters.,Free awareness sessions.,Manufacturing MSMEs.,Training;Quality;Awareness
Skill Dev,IPR Training,Workshops on Patent/Trademark filing.,Free awareness sessions.,MSMEs.,Training;IPR;Awareness
Skill Dev,Lean Awareness,Workshops on Lean Manufacturing.,Free awareness sessions.,Manufacturing Clusters.,Training;Efficiency;Awareness
Marketing,PMS (Domestic Trade Fair),Stall rent subsidy for domestic fairs.,Reimbursement up to ?1.5 Lakh.,Micro & Small Enterprises.,Exhibition;Domestic;Marketing
Marketing,PMS (Intl Trade Fair),Support for international fairs in India.,Reimbursement of stall rent.,Micro & Small Enterprises.,Exhibition;International;Marketing
Marketing,IC (Intl Exhibition),Travel & Stall support for foreign fairs.,Airfare + Stall Rent reimbursement.,MSME Delegations.,Exhibition;International;Export
Marketing,IC (Business Delegation),Support for business delegations abroad.,Reimbursement of travel costs.,Industry Associations.,Networking;International;Export
Marketing,VDP (National),National level vendor development.,Meet large PSUs/Buyers.,Micro & Small Enterprises.,Networking;Procurement;B2B
Marketing,VDP (State),State level vendor development.,Meet local PSUs/Buyers.,Micro & Small Enterprises.,Networking;Procurement;B2B
Marketing,Public Procurement (Women),3% Mandatory procurement from Women.,Exclusive tenders for women MSEs.,Women Entrepreneurs.,Procurement;Women;Reservation
Marketing,Public Procurement (SC/ST),4% Mandatory procurement from SC/ST.,Exclusive tenders for SC/ST MSEs.,SC/ST Entrepreneurs.,Procurement;SC/ST;Reservation
Marketing,GeM Registration,Government e-Marketplace listing.,Direct access to govt orders.,All MSMEs.,Online;Sales;Government
Marketing,B2B Portal Support,Subsidy for B2B portal membership.,Reimbursement of annual fees.,Micro & Small Enterprises.,Digital;Marketing;B2B
Marketing,Packaging Assistance,Help with improved packaging.,Consultancy/Design support.,MSMEs.,Packaging;Marketing;Design
Marketing,Bar Code (One-time),Reimbursement of one-time registration.,75% reimbursement.,Micro & Small Enterprises.,Retail;BarCode;Subsidy
Marketing,Bar Code (Annual),Reimbursement of annual fee.,75% reimbursement for first 3 years.,Micro & Small Enterprises.,Retail;BarCode;Subsidy
Marketing,Marketing Hubs,Setting up marketing hubs/retail outlets.,Grant for infrastructure.,"Associations, SPVs.",Infrastructure;Marketing;Retail
Marketing,Export Promotion Council,Subsidy for EPC membership.,Reimbursement of registration fee.,Exporters.,Export;Membership
Marketing,Trade Fairs (Virtual),Support for virtual exhibitions.,Reimbursement of participation fee.,MSMEs.,Exhibition;Digital;Online
Marketing,Geographical Indications (GI),Promotion of GI products.,Marketing support for GI tagged items.,GI Producers.,Traditional;Marketing;GI
Marketing,Coir Expo,Exhibitions specifically for Coir.,Stall support for Coir artisans.,Coir MSMEs.,Coir;Exhibition
Marketing,Khadi Plaza,Setting up Khadi retail plazas.,Financial support for construction.,Khadi Institutions.,Khadi;Retail;Infrastructure
Marketing,MSME Mart,Online B2B marketing support.,Subsidized membership for NSIC portal.,MSMEs.,Online;Marketing;B2B
